ap,p,t,B,lfc
0.996,0.010206,-3.1559835,-3.93,-0.58750336
0.996,0.010211,3.1556739,-3.93,0.4626446
0.996,0.01022,-3.1551515,-3.93,-0.73437198
0.996,0.010248,-3.1535508,-3.93,-0.94960516
0.996,0.01028,3.1517324,-3.93,0.37995134
0.996,0.010286,3.1513416,-3.93,0.4524032
0.996,0.010323,-3.1492364,-3.93,-0.80801874
0.996,0.010379,-3.1460946,-3.94,-1.19299904
0.996,0.010435,3.1429361,-3.94,0.3823079
0.996,0.010439,-3.142675,-3.94,-0.584416
0.996,0.010446,3.142325,-3.94,0.42583866
0.996,0.010451,3.1420009,-3.94,0.4194336
0.996,0.010451,-3.1419916,-3.94,-0.671521
0.996,0.010455,3.141795,-3.94,0.34528128
0.996,0.010475,3.1406483,-3.94,0.3354089
0.996,0.010493,-3.1396791,-3.94,-0.60504462
0.996,0.010498,-3.1393652,-3.94,-0.71847284
0.996,0.010505,3.1389805,-3.94,0.86485484
0.996,0.010593,3.1341183,-3.94,1.44881874
0.996,0.010609,-3.1332216,-3.94,-0.45803754
0.996,0.010619,3.1326255,-3.94,0.29673948
0.996,0.010641,3.1314394,-3.94,0.8610692
0.996,0.010723,-3.1269516,-3.94,-0.55870774
0.996,0.010723,3.1269218,-3.94,0.6970534
0.996,0.010727,-3.1267267,-3.94,-1.1152098
0.996,0.010739,3.1260742,-3.94,0.60519516
0.996,0.010743,-3.1258185,-3.94,-0.7360299
0.996,0.01079,3.1232817,-3.94,0.41804666
0.996,0.010817,-3.1218189,-3.94,-0.55049424
0.996,0.010902,-3.1172241,-3.94,-0.91672522
0.996,0.010921,3.1161798,-3.94,0.46711928
0.996,0.010921,-3.116166,-3.94,-0.57005152
0.996,0.010962,3.1139681,-3.94,0.8539871
0.996,0.010976,-3.1132653,-3.94,-1.06292422
0.996,0.010985,-3.112768,-3.94,-1.24885818
0.996,0.010994,3.1122629,-3.95,0.90905878
0.996,0.011019,3.1109366,-3.95,0.732022
0.996,0.011019,-3.1109264,-3.95,-1.3166531
0.996,0.011043,-3.109662,-3.95,-0.70308252
0.996,0.011067,3.108394,-3.95,0.51047714
0.996,0.011072,-3.1081373,-3.95,-0.82125196
0.996,0.011121,3.1055277,-3.95,0.6490268
0.996,0.011131,-3.1050205,-3.95,-1.60459728
0.996,0.011135,3.1047915,-3.95,0.25568696
0.996,0.011142,-3.1044451,-3.95,-1.24187436
0.996,0.011216,3.1005465,-3.95,0.80415696
0.996,0.011239,3.0993461,-3.95,0.74016648
0.996,0.011247,3.0989321,-3.95,0.57761694
0.996,0.01133,3.0946108,-3.95,0.47022742
0.996,0.01134,-3.0941066,-3.95,-0.40275444
0.996,0.011401,-3.090964,-3.95,-1.66855622
0.996,0.011413,-3.0903237,-3.95,-0.94535262
0.996,0.011442,3.0888453,-3.95,0.69687712
0.996,0.011444,-3.0887368,-3.95,-1.03415026
0.996,0.011476,-3.0871131,-3.95,-0.39205348
0.996,0.011476,3.0870961,-3.95,0.47974038
0.996,0.011497,3.0860254,-3.95,0.4065218
0.996,0.011509,3.0854419,-3.95,0.6257512
0.996,0.011527,3.0844943,-3.95,0.334232
0.996,0.011564,3.0826134,-3.95,0.50830286
0.996,0.011588,3.0814193,-3.95,1.0837944
0.996,0.011628,-3.0794145,-3.95,-0.42483356
0.996,0.011672,-3.0771967,-3.96,-1.13244796
0.996,0.011712,-3.0751631,-3.96,-0.85170464
0.996,0.011714,3.0750628,-3.96,0.3807216
0.996,0.011761,3.0727322,-3.96,0.76329358
0.996,0.011802,3.0707099,-3.96,0.57210978
0.996,0.011826,3.0694979,-3.96,0.5286191
0.996,0.011836,-3.0690115,-3.96,-0.5427922
0.996,0.011852,3.0682179,-3.96,0.59357536
0.996,0.011854,3.0681194,-3.96,0.5543854
0.996,0.011877,-3.0669903,-3.96,-0.7549901
0.996,0.011877,3.0669864,-3.96,0.70501342
0.996,0.011898,3.0659454,-3.96,0.55212828
0.996,0.011937,-3.064037,-3.96,-2.04799178
0.996,0.011943,-3.0637455,-3.96,-0.83976014
0.996,0.011944,3.0636882,-3.96,0.75744816
0.996,0.011972,-3.0623211,-3.96,-0.54651356
0.996,0.012008,-3.0605589,-3.96,-1.63859794
0.996,0.012045,-3.0587686,-3.96,-0.84877308
0.996,0.012047,3.0586417,-3.96,0.9580865
0.996,0.012069,3.0576051,-3.96,0.64215086
0.996,0.012119,-3.055152,-3.96,-0.637959
0.996,0.012135,-3.0543816,-3.96,-0.78238802
0.996,0.012142,3.0540478,-3.96,0.55097592
0.996,0.012197,3.0514351,-3.96,1.0804305
0.996,0.012212,-3.0506964,-3.96,-0.6671823
0.996,0.012212,3.0506701,-3.96,0.4772198
0.996,0.012283,-3.0473181,-3.96,-0.462883
0.996,0.012373,3.0430084,-3.97,0.66360428
0.996,0.012404,3.0415404,-3.97,0.4683475
0.996,0.012407,3.0414378,-3.97,0.49682406
0.996,0.012411,-3.0412452,-3.97,-0.7306123
